s,p,d
7,34,213
2,56,413
8,90,161
8,29,323
7,65,483
2,34,55
7,61,323
10,37,143
1,18,290
6,62,352
10,96,373
7,12,73
6,14,169
1,40,408
7,51,216
4,16,54
8,6,280
9,77,397
10,18,351
1,13,134
4,25,189
4,83,664
5,93,667
1,12,129
6,70,298
6,66,340
4,96,340
9,43,343
9,42,323
5,91,498
7,5,152
4,83,343
8,2,54
7,65,406
9,43,299
9,6,278
4,75,428
5,60,346
9,8,136
3,78,383
3,97,305
10,74,263
8,20,276
3,88,381
5,84,406
9,38,63
6,26,228
2,20,167
8,51,422
8,43,390
2,31,179
2,51,361
8,65,187
8,21,150
10,69,392
4,99,468
10,35,171
6,55,391
6,12,157
3,8,199
5,40,322
8,30,261
3,17,85
9,57,197
6,93,379
5,20,154
6,10,69
4,25,317
5,47,337
8,8,258
8,8,132
9,75,306
9,28,80
5,56,377
9,79,318
7,97,470
7,21,252
4,1,82
5,32,118
9,63,452
6,80,423
4,86,443
4,62,381
10,42,189
3,85,226
9,48,367
7,12,310
1,42,259
8,28,300
4,16,338
4,84,185
1,85,324
9,42,331
10,69,279
5,91,439
5,37,308
6,67,266
9,23,340
3,33,253
10,49,175
