s,p,d
7,25,962
10,49,1029
2,6,994
9,88,628
7,41,109
1,69,1517
7,31,648
6,52,968
5,28,818
9,37,1138
1,29,155
9,75,786
10,14,500
2,27,792
9,14,603
8,62,968
2,37,1266
8,57,293
6,19,619
3,91,981
10,8,531
9,67,1438
7,86,1036
5,79,659
5,11,1271
8,49,485
3,85,614
6,64,672
1,47,1459
5,8,470
3,73,474
1,46,729
10,9,1074
6,57,633
2,88,1455
4,49,796
10,95,309
8,64,1058
4,90,1047
3,28,1396
8,73,1294
8,17,1044
8,25,1180
10,16,980
8,54,487
1,41,1169
7,34,863
4,97,215
1,31,915
9,46,963
