s,p,d
3,8,183
8,73,175
3,76,1117
7,99,1362
2,23,617
5,27,481
1,87,315
3,43,674
5,30,129
2,63,632
9,41,820
7,14,106
6,91,1075
7,46,960
3,30,501
5,24,814
5,20,1148
1,74,198
8,11,368
6,58,1316
3,44,248
10,59,512
10,90,308
3,24,781
7,13,104
4,61,876
1,50,1009
3,51,1115
6,33,281
7,47,217
9,99,966
2,25,1034
1,47,1205
6,86,746
2,76,718
4,44,934
9,53,703
7,94,1206
8,77,1396
3,35,349
4,50,1100
9,3,528
4,36,657
5,95,186
9,34,323
6,72,181
3,25,1304
6,69,492
7,23,536
2,43,1225
