s,p,d
9,56,236
9,85,276
7,11,19
5,20,77
2,49,126
9,80,282
4,58,130
6,6,105
7,39,187
2,65,331
4,11,132
5,85,334
7,95,260
5,53,131
3,28,163
8,91,376
5,30,243
4,65,258
1,97,268
9,93,287
6,54,130
7,45,86
5,3,99
10,79,252
5,52,226
4,17,68
2,21,125
5,90,314
5,13,176
8,78,233
10,68,291
4,70,206
4,81,230
1,33,95
10,78,261
2,76,277
4,60,169
9,56,221
10,8,136
2,12,136
9,37,240
7,1,109
4,5,72
9,99,261
4,66,308
9,43,89
7,84,311
7,92,270
4,67,214
4,62,310
8,63,215
9,32,145
5,77,325
3,59,242
8,29,151
1,23,111
2,34,72
9,9,42
8,29,196
9,68,263
2,96,253
10,61,323
6,30,238
7,24,222
6,6,150
1,63,127
3,77,232
1,6,77
6,77,277
4,34,116
10,23,92
5,17,61
10,39,299
7,68,100
2,71,298
