s,p,d
7,42,250
1,90,222
10,40,224
1,9,113
8,76,289
8,59,369
6,93,465
4,57,247
8,73,185
10,23,223
4,66,291
8,45,280
1,55,383
8,86,463
3,9,225
5,90,284
10,63,547
1,63,191
9,95,328
8,99,460
4,6,49
2,42,198
8,95,385
1,10,282
6,46,258
7,9,107
7,81,313
2,68,258
10,34,135
1,87,627
3,78,439
4,56,387
9,69,423
2,33,278
2,42,220
5,40,225
7,6,268
5,53,102
9,90,445
4,63,454
10,90,523
6,70,253
5,52,311
3,84,353
9,42,330
3,24,324
7,67,441
10,40,207
4,62,332
7,3,125
1,23,127
7,48,375
4,97,444
5,25,283
5,23,283
2,59,198
1,17,122
3,49,393
4,97,487
1,30,93
10,54,252
7,17,247
7,49,292
3,47,207
8,58,391
4,52,297
7,35,206
6,79,481
10,9,169
4,75,330
3,93,416
7,70,309
4,45,392
8,68,457
5,98,414
1,74,223
2,55,421
1,79,387
2,55,466
2,21,118
5,81,255
4,51,199
8,41,190
4,20,140
3,78,326
8,4,231
3,66,465
3,6,269
4,3,178
2,41,161
9,94,400
2,23,130
1,39,153
8,2,18
3,80,486
2,37,188
7,64,300
5,51,231
3,58,313
8,92,502
