s,p,d
9,47,890
10,25,2559
10,50,2176
10,33,1586
2,70,1886
9,15,2218
3,89,1317
3,97,2132
7,70,1694
5,40,2712
10,18,1281
4,55,1535
8,82,1793
7,38,1217
3,83,2858
10,50,238
1,74,956
5,65,1968
5,19,1774
7,18,2312
1,93,581
6,51,2950
8,10,2414
6,14,1493
3,44,1758
8,99,2815
1,87,2795
2,79,323
10,98,825
4,25,2836
7,62,701
8,55,527
3,54,1549
6,31,2337
2,97,1619
7,14,1950
6,23,904
3,16,1599
5,15,1958
5,51,2088
7,55,2129
8,29,1073
10,44,1242
2,95,2264
8,13,1453
8,53,2000
4,7,1545
3,72,453
8,61,687
1,31,2338
8,34,1589
10,89,2966
1,21,2072
1,28,1428
8,30,2677
4,74,1269
7,35,2358
7,30,1556
2,67,3132
1,37,755
5,92,2794
5,81,2729
10,20,1666
6,82,2249
6,78,2778
8,61,1565
8,34,2490
6,45,1505
5,58,455
2,91,1219
7,38,1288
6,80,2064
5,18,188
5,90,2922
8,90,1950
9,74,1995
2,17,1336
7,59,1377
1,64,1516
1,1,1434
5,96,1836
8,3,358
9,61,694
4,21,194
1,21,1440
8,94,1073
2,81,2698
2,6,2496
10,53,413
4,83,2531
6,11,43
1,12,1543
9,70,1049
9,14,1963
4,62,678
7,79,1347
7,18,963
4,16,2024
9,43,549
8,85,1805
