s,p,d
3,8,623
9,15,322
9,71,890
3,75,943
1,78,548
1,80,551
1,85,1557
1,56,1027
9,77,1606
5,73,1086
5,47,894
2,15,863
2,5,994
3,38,710
2,56,744
8,75,487
3,65,531
9,33,1099
10,22,884
7,18,944
7,38,1259
5,48,422
4,98,442
1,8,1017
10,81,1250
10,55,329
5,65,119
7,77,486
9,72,1328
4,99,1229
8,28,263
10,25,581
5,93,728
5,28,216
5,77,827
2,66,1046
5,49,99
5,50,328
8,75,831
2,16,1170
4,17,765
9,49,1341
4,76,903
3,12,128
4,51,550
5,13,813
1,90,912
2,72,470
4,1,672
9,20,1025
