s,p,d
10,61,988
7,38,829
3,8,43
3,76,1097
2,83,1950
2,49,1811
6,51,2125
5,20,1892
7,81,479
2,84,2248
1,59,305
4,44,1132
7,20,1529
5,61,1003
10,7,1352
6,77,633
4,17,574
1,31,1661
5,60,763
2,67,898
5,50,1479
6,51,2242
2,83,754
4,96,2226
3,45,1116
9,32,718
4,26,1048
5,74,1104
5,68,446
5,81,1523
7,90,1237
6,24,1027
4,90,865
1,41,988
7,10,149
7,57,1093
3,46,357
1,88,1997
2,89,806
9,33,1954
4,78,2323
3,58,279
2,48,1066
6,8,284
4,69,430
2,20,1254
8,44,123
4,69,1376
9,61,803
2,63,1772
7,87,1559
10,60,795
2,68,644
8,67,660
7,47,2133
3,86,836
3,64,1838
9,49,1229
7,31,2197
1,21,1404
7,66,821
10,12,1417
6,67,1638
9,83,1143
7,13,1909
7,68,200
8,69,1563
6,15,461
5,8,861
9,59,1670
3,82,2009
3,39,1196
7,79,2211
7,60,2132
6,24,581
