s,p,d
5,88,377
8,5,125
7,79,278
3,61,240
10,95,152
2,56,275
2,20,153
3,27,178
5,95,241
5,71,117
8,91,135
5,83,436
4,92,332
9,2,53
7,82,471
2,82,136
4,34,166
10,52,226
1,4,135
6,84,153
1,87,300
4,63,254
2,35,128
4,46,209
6,48,147
6,19,157
8,4,121
3,44,247
8,90,270
3,87,269
8,13,50
1,42,240
9,58,190
1,13,127
2,80,108
2,98,339
8,79,213
1,31,109
1,46,141
2,99,390
9,44,142
5,30,191
8,99,393
2,40,280
2,85,433
3,48,167
7,42,151
6,41,233
4,35,155
9,5,35
