s,p,d
3,73,930
4,77,994
10,17,803
3,82,941
2,11,428
3,87,306
9,77,475
7,89,440
4,93,1303
1,20,1213
7,81,416
3,93,924
6,45,955
2,23,799
5,53,506
9,97,996
3,35,582
1,49,1369
2,60,795
9,47,1035
9,55,391
4,79,627
3,67,1146
5,71,1090
5,14,734
2,68,639
10,1,309
5,55,416
7,87,890
2,38,128
5,63,669
4,48,1156
3,2,406
5,6,874
2,83,373
9,6,699
4,42,1122
1,48,1255
2,6,312
4,82,1282
10,18,1090
3,5,118
8,7,242
10,46,320
4,53,161
10,16,79
3,69,1136
2,37,895
4,16,633
8,6,753
