s,p,d
7,27,160
7,33,123
3,29,271
9,79,388
5,20,89
1,1,76
8,59,138
9,5,136
9,56,350
10,57,398
2,94,361
4,48,288
3,24,176
10,77,213
9,96,321
1,98,513
2,71,412
10,33,288
1,73,258
5,79,350
10,78,345
3,37,251
5,79,271
10,69,269
4,59,384
4,26,281
10,35,207
3,45,130
5,15,241
1,72,269
1,99,375
4,76,453
5,17,215
5,47,363
3,68,116
8,39,318
10,23,159
1,13,189
8,12,203
9,89,376
2,46,330
7,46,386
6,58,331
1,57,264
9,41,240
5,18,190
9,7,106
9,80,436
4,44,360
5,89,198
5,80,305
6,86,300
9,41,91
1,61,169
9,13,201
6,2,157
2,81,235
3,53,155
10,83,327
5,99,380
10,19,71
9,18,267
3,74,340
4,85,182
5,98,174
4,6,44
1,81,346
10,31,82
9,79,373
3,52,333
5,44,245
1,24,299
7,88,496
9,7,253
8,37,236
3,76,198
4,24,283
2,6,253
2,70,263
8,57,328
1,85,471
6,78,395
5,53,298
3,69,429
9,43,230
7,85,383
2,80,360
3,61,416
8,52,226
6,7,303
1,58,269
4,75,408
1,94,255
2,51,229
9,72,363
2,37,168
4,65,294
2,22,90
10,90,384
7,78,303
