s,p,d
9,54,216
1,26,249
6,86,356
2,33,218
5,58,96
2,22,113
10,90,281
2,46,112
8,52,390
6,11,126
9,26,187
5,28,283
3,63,326
10,7,144
10,24,92
3,55,251
1,18,104
10,85,598
7,59,176
2,92,531
10,32,177
1,13,126
10,89,405
1,18,203
4,92,349
6,59,249
7,80,255
9,25,222
6,22,186
1,98,247
6,8,35
4,20,135
3,34,263
1,98,444
1,61,198
7,7,198
1,74,149
9,95,416
9,34,242
3,51,140
2,54,224
6,57,198
4,86,248
2,45,358
6,57,286
1,39,226
2,15,105
4,47,365
7,57,294
1,17,245
7,93,359
6,13,123
1,96,137
4,16,95
7,14,166
6,22,83
10,78,369
6,26,83
9,6,161
5,78,268
2,19,126
5,97,320
4,51,164
7,11,203
6,16,163
3,36,170
7,76,439
1,50,198
1,82,474
10,73,191
8,43,159
10,4,100
8,77,329
7,37,169
7,20,178
