s,p,d
7,61,214
9,38,216
1,34,194
1,2,42
3,52,218
8,42,229
3,2,103
7,30,165
8,36,237
2,50,257
4,57,97
10,58,265
9,94,160
7,11,238
6,78,329
2,80,399
8,12,186
9,84,300
6,28,112
3,37,80
4,28,240
3,65,242
8,17,100
5,92,352
6,10,221
10,29,61
9,13,168
4,68,296
10,86,191
3,37,123
10,74,300
9,1,109
4,1,173
8,56,218
1,32,120
8,38,156
7,5,214
9,37,261
8,2,17
2,84,213
3,97,313
8,9,229
6,40,240
9,71,345
3,96,202
9,37,117
3,33,220
2,66,147
6,44,188
3,88,273
6,22,258
8,28,92
5,54,247
9,63,277
9,70,276
3,89,261
5,99,142
7,42,192
3,70,177
8,82,337
10,27,158
6,83,235
7,74,234
5,7,110
4,25,212
10,50,268
5,81,341
6,18,91
8,12,148
5,87,314
9,47,232
3,73,167
2,75,86
2,16,152
5,40,235
