s,p,d
2,8,691
7,37,1276
4,3,1079
4,65,636
10,70,1211
2,36,1322
9,70,868
3,65,1088
10,78,820
8,82,1001
10,42,1295
1,20,716
2,76,405
2,12,497
3,16,150
6,22,939
7,67,983
2,75,928
9,52,239
4,21,1055
8,87,1195
3,66,919
2,15,446
8,65,1264
2,4,1135
9,61,445
7,45,448
1,70,506
1,66,1038
5,21,988
8,74,601
6,25,344
1,78,1159
6,9,410
3,69,880
10,46,1310
6,24,375
3,65,518
5,25,533
6,50,757
5,23,573
2,1,291
4,84,556
1,85,695
7,17,878
3,46,1087
4,8,678
10,88,1237
9,8,277
9,20,898
