s,p,d
9,30,2969
2,47,546
3,67,609
4,75,2743
3,28,1148
9,99,2045
10,43,2085
8,86,881
6,66,2904
1,62,3122
5,8,1618
6,38,495
1,44,1056
9,66,1911
8,19,1386
4,93,3213
4,97,2291
6,60,2681
5,13,1292
2,66,1544
3,60,2734
2,27,813
6,75,2658
5,18,493
9,57,1171
9,66,2759
3,61,2419
1,86,1146
4,41,2307
4,88,1417
9,45,589
6,74,604
9,63,2774
10,67,1328
4,15,1251
5,54,1889
9,81,2649
4,16,294
5,89,2762
5,15,2313
5,8,2588
10,4,2618
7,99,1929
6,52,776
10,92,2979
5,19,2560
9,79,689
9,98,1912
2,42,2963
3,55,589
9,6,2029
6,74,2906
2,85,1216
9,46,2483
5,84,2354
5,98,2314
6,64,2198
3,30,1237
3,60,2240
3,15,2034
7,68,1453
1,60,226
9,68,601
6,76,1900
3,10,2875
9,47,1589
4,27,275
10,52,1671
2,24,1135
8,36,759
1,64,2217
3,76,774
5,32,2353
7,31,2484
7,87,522
2,39,355
10,4,1731
9,44,937
1,75,3148
2,9,340
2,97,2484
5,95,2474
1,29,2233
6,92,749
5,10,1717
6,39,283
7,48,1349
4,39,2598
9,70,2948
2,31,1640
9,37,282
10,74,1436
8,87,1339
4,41,2760
3,70,2921
10,77,2072
5,1,243
5,92,1571
2,73,317
2,87,165
