s,p,d
4,71,278
2,86,389
8,52,214
7,84,293
9,98,339
6,17,180
2,66,166
1,64,166
2,90,238
4,48,304
8,93,227
2,9,66
10,89,317
10,69,238
3,82,254
4,67,231
2,64,136
7,11,73
10,93,383
5,56,284
9,64,270
8,53,148
2,61,290
2,46,129
4,92,295
10,93,413
4,1,21
10,86,367
6,40,139
4,30,260
8,42,164
9,67,220
5,31,209
7,99,286
8,15,184
2,17,150
3,31,193
9,42,217
5,57,331
8,43,181
2,72,307
3,5,88
8,73,354
4,4,119
4,34,102
8,92,246
4,22,250
10,24,166
4,42,316
3,41,245
9,40,103
7,39,214
8,21,75
1,39,232
9,18,163
10,85,274
3,79,284
3,85,321
9,91,337
10,27,178
10,25,157
3,79,318
8,89,183
10,14,135
1,28,106
9,52,183
1,6,183
2,82,411
10,20,253
7,38,274
10,19,76
3,92,212
7,23,101
2,73,273
1,46,260
