s,p,d
5,43,704
4,41,619
10,51,744
9,51,1261
4,66,700
4,36,470
6,62,178
1,60,944
10,43,970
10,55,611
2,84,621
7,94,802
1,39,1310
2,6,22
1,72,1189
6,42,848
7,42,1075
7,40,396
10,17,1129
2,77,1118
8,24,975
5,53,1387
10,27,558
8,24,1317
8,41,893
4,99,1289
2,52,1199
6,42,768
6,80,483
1,62,240
4,41,381
5,64,367
9,36,261
1,44,1193
4,40,1241
7,60,626
10,19,320
10,13,628
2,23,1246
6,43,526
4,15,688
3,72,1508
5,66,804
10,17,129
1,74,1457
4,75,857
8,56,763
7,49,814
1,40,1065
5,70,379
