s,p,d
10,42,324
4,54,378
2,73,349
2,61,144
8,26,134
7,95,370
4,28,108
10,36,154
6,73,264
4,1,21
9,49,234
9,71,443
7,10,40
7,8,91
5,35,207
9,98,363
10,81,506
3,88,202
8,76,389
2,31,152
8,25,139
5,24,167
7,15,166
7,50,165
2,83,483
4,10,70
4,13,183
10,36,181
10,50,211
7,7,132
9,78,333
1,33,41
6,65,191
7,24,82
10,16,220
5,47,192
8,30,185
9,35,199
9,22,127
4,93,278
4,76,291
8,45,266
3,19,141
2,69,396
7,63,334
9,79,235
5,20,56
1,73,455
8,17,80
6,27,260
