s,p,d
5,80,1323
5,25,505
1,5,2251
7,7,329
4,47,1903
2,69,2609
1,78,1774
4,8,1964
3,4,918
3,38,844
6,44,306
2,61,2359
4,79,2446
1,56,170
9,87,1321
5,66,2088
6,33,1796
9,47,2086
5,56,2156
6,60,1450
10,4,1624
5,65,1857
8,41,1186
8,11,1967
6,13,1977
5,60,792
1,81,2121
4,60,1429
1,94,2695
5,88,727
6,31,1929
2,92,637
4,70,2388
1,49,1807
5,38,1262
7,53,1903
9,56,231
10,75,485
7,75,1692
2,93,2193
1,8,2239
7,39,2446
1,13,244
1,57,391
7,8,2572
9,21,1580
1,8,111
7,12,454
8,84,1972
7,94,1395
3,54,1961
1,2,1278
3,72,941
4,56,712
8,57,1309
10,52,1692
6,8,321
6,5,2371
6,50,466
9,10,2343
6,64,2112
5,32,1723
9,44,800
1,12,1189
10,23,1094
8,76,2159
4,22,1542
9,99,1031
5,78,1968
3,3,28
9,64,1570
9,68,2253
4,92,2304
10,18,2263
2,13,331
7,57,1446
2,73,2358
5,28,2303
4,76,1684
9,67,579
4,94,751
4,28,591
9,69,1446
7,31,590
3,62,164
2,41,1392
7,89,1833
10,9,591
8,1,2278
10,79,1355
4,33,1541
9,23,419
9,98,1624
6,53,2215
6,50,1323
7,35,325
7,69,2659
3,13,1420
8,29,279
2,63,1518
