s,p,d
1,94,795
3,52,2163
2,94,1485
5,60,1696
10,84,942
5,35,2035
5,35,1656
3,84,1328
8,54,2061
2,99,523
3,31,2004
3,48,2647
8,12,160
8,79,852
3,94,1157
1,81,484
8,77,2359
3,3,787
5,99,2756
4,76,1501
8,29,1916
9,43,1653
9,46,1952
7,23,1619
1,69,2554
3,27,1206
3,56,804
5,71,2752
3,50,2018
6,65,332
4,3,535
4,45,1023
1,21,1610
1,31,1697
1,90,950
3,74,2499
9,20,2434
1,70,626
5,56,715
5,90,398
10,4,646
8,52,2569
3,19,2349
3,32,839
4,6,542
10,56,2149
5,64,1561
4,3,2218
10,47,913
3,96,1831
2,64,1173
8,73,566
1,74,2519
8,85,641
3,37,2155
6,4,1548
9,36,683
3,27,448
4,48,1168
7,13,436
4,95,1856
5,64,634
2,30,1082
7,88,2116
2,88,2688
4,46,1600
7,75,1941
5,25,1166
8,14,2337
9,41,1193
3,24,2164
10,10,2025
3,53,1652
1,88,780
4,26,712
1,37,2441
4,46,1525
4,85,1702
1,16,1237
4,67,440
1,88,220
8,8,967
1,39,1391
4,17,611
9,69,1570
4,77,2212
1,9,820
9,92,1168
6,53,1182
3,60,2227
2,1,1402
3,58,2603
8,96,1488
1,99,2684
10,92,1148
6,38,902
3,96,338
5,95,1404
2,30,2504
6,68,2332
