s,p,d
5,28,1672
3,91,1436
1,75,526
7,43,2178
9,38,1090
8,67,1284
1,74,393
5,49,998
10,1,1738
8,36,1339
2,38,474
7,12,1577
3,93,1710
1,38,623
9,62,2229
8,69,906
4,18,825
7,70,515
9,8,2011
5,2,1143
8,98,341
8,49,571
8,97,1528
4,34,1570
9,87,590
5,70,1744
7,10,174
6,42,2033
6,36,1593
8,40,1743
7,48,584
6,33,265
6,74,1027
1,16,608
6,11,1328
4,22,246
1,63,1955
7,17,1066
3,38,979
1,89,478
5,39,1588
7,31,1776
2,55,1496
5,32,434
4,48,1803
5,2,904
8,92,2380
6,98,590
5,68,869
2,16,2041
2,3,234
7,6,205
4,12,1342
10,62,1934
8,63,1310
2,60,1535
5,23,630
7,90,2014
5,66,1562
6,48,279
5,60,598
10,51,2191
2,83,1655
1,24,222
10,65,981
2,26,584
3,47,1196
4,81,993
9,25,1081
10,46,1089
9,87,890
4,17,1149
8,6,805
10,90,1681
8,77,1842
