s,p,d
5,57,338
6,83,281
8,89,466
4,54,490
6,78,513
8,57,504
4,93,373
10,56,178
8,55,451
6,22,96
9,41,253
9,60,187
6,15,202
3,5,83
1,70,520
9,90,641
7,74,264
9,15,319
5,23,303
10,38,320
4,94,450
5,14,356
7,7,38
6,97,672
7,65,257
9,31,359
1,9,255
6,51,339
3,39,334
9,13,363
5,44,439
7,86,613
3,94,509
3,11,51
8,35,119
4,55,413
10,38,204
1,2,116
7,37,290
2,61,509
4,40,139
9,56,400
4,93,462
4,93,461
10,24,83
6,33,122
3,37,373
8,96,509
9,71,229
7,19,331
6,16,197
2,76,328
4,76,551
1,4,182
10,78,592
9,37,420
4,40,373
5,87,355
8,66,320
7,73,200
8,94,354
5,39,213
8,71,181
7,77,368
2,68,274
3,73,417
9,19,146
6,2,115
7,91,588
3,84,298
3,83,456
5,52,96
1,35,327
1,2,155
4,56,363
6,12,326
10,83,220
10,90,433
6,31,165
4,21,265
3,61,139
8,93,488
3,50,308
8,72,218
3,72,430
3,98,501
7,65,465
10,61,161
7,3,274
6,58,482
3,52,195
6,63,286
5,37,273
5,31,172
5,58,276
2,52,205
7,33,118
6,78,526
8,81,383
6,58,480
