s,p,d
4,22,149
5,44,198
10,11,208
2,7,36
3,57,175
5,36,325
1,53,386
3,57,216
4,86,363
9,70,260
10,82,350
8,87,266
9,87,439
1,9,43
6,46,374
10,92,387
4,94,630
7,11,220
3,58,232
9,47,132
5,52,434
8,12,135
1,74,567
5,54,264
5,7,174
9,31,225
10,95,552
9,18,95
1,34,233
10,24,244
1,20,235
4,74,452
10,4,201
7,69,479
6,19,84
1,34,150
3,81,416
10,91,490
3,69,348
7,80,382
4,72,576
7,26,214
5,6,45
7,7,274
3,93,363
1,17,96
4,14,155
9,73,347
4,94,430
9,52,415
7,71,501
10,23,252
10,5,238
2,45,275
6,21,182
4,18,128
1,31,210
9,35,175
1,67,214
1,26,266
1,76,515
4,50,312
9,37,286
2,32,387
8,16,158
3,84,407
6,54,271
4,5,59
5,85,209
4,27,57
7,66,193
2,75,120
6,38,192
4,22,246
2,1,233
2,82,393
3,8,59
5,71,332
5,61,292
4,31,52
7,32,242
10,68,301
2,63,175
10,5,55
1,4,87
5,75,238
8,8,169
4,1,38
6,61,424
5,33,256
7,81,313
10,22,126
5,16,86
9,11,81
6,15,255
2,84,265
7,13,219
5,94,421
7,58,325
3,82,615
