s,p,d
10,94,1071
5,92,606
7,79,159
1,84,970
8,63,724
6,43,858
10,88,926
10,86,355
4,89,286
6,87,630
3,60,639
3,15,302
3,71,1245
1,17,897
1,27,687
1,62,500
5,69,750
10,66,1119
2,4,1290
7,11,232
9,76,1102
4,3,193
5,64,383
8,74,964
5,12,115
10,49,1247
2,69,255
9,7,819
5,70,308
3,49,967
5,20,488
8,21,572
4,95,1375
3,63,1034
8,60,731
9,66,928
8,91,736
5,8,324
1,6,192
5,26,1025
6,86,220
4,28,206
2,18,329
6,67,878
3,9,921
5,13,1287
4,12,828
5,20,1226
8,28,93
2,41,340
