s,p,d
1,17,257
8,26,1424
9,43,439
4,53,283
9,33,472
6,24,1296
6,57,848
5,43,1342
2,72,983
7,29,1225
7,44,306
4,64,1141
10,28,728
8,87,484
1,74,1630
4,36,1252
8,90,770
3,77,1463
7,27,1202
10,44,1482
10,7,611
2,87,646
6,76,819
10,93,930
5,89,884
6,46,485
4,12,725
6,5,820
2,51,427
4,77,343
9,98,396
10,43,934
7,87,218
1,11,880
7,68,454
3,86,355
3,87,177
6,9,1206
6,64,1461
1,34,1429
2,89,1220
8,44,1201
4,1,474
7,44,983
2,71,1418
2,17,1254
2,80,1031
9,22,1413
4,77,657
8,96,937
