s,p,d
4,30,1211
5,32,1733
6,26,2117
1,15,852
1,15,78
4,50,2067
9,66,2425
5,18,1006
8,65,255
3,98,1253
2,15,454
4,90,1849
3,61,2158
4,6,2185
8,45,1700
7,34,1424
3,50,1534
7,4,822
10,38,418
7,34,682
3,56,1609
10,95,1657
8,92,1327
3,80,985
9,79,1247
2,9,1385
3,9,2009
9,57,1011
8,69,937
7,41,534
4,64,2231
8,37,1816
1,6,1417
9,83,1731
7,80,1111
4,41,2218
8,46,1099
9,41,1156
6,72,1625
10,14,702
5,77,705
10,36,806
2,85,434
8,62,1143
3,43,344
10,2,713
1,26,1632
7,94,1902
10,70,605
10,57,1756
3,70,1553
9,40,1745
1,68,2224
6,77,1476
4,69,1282
8,66,930
9,30,2328
6,50,1384
7,35,654
1,69,1135
10,14,1332
10,12,631
9,19,710
3,64,577
1,10,657
10,80,968
8,71,2315
10,58,1569
4,99,1036
2,69,1288
7,96,1737
8,7,1797
4,4,884
9,96,776
6,94,857
