s,p,d
2,24,1316
5,7,733
7,54,1625
6,23,1958
1,9,2090
7,89,1393
10,43,2530
8,79,1067
2,69,2530
6,49,362
5,66,1115
7,37,1505
2,69,169
5,1,954
1,35,1832
2,32,1185
10,84,2472
8,49,280
7,12,389
10,23,1385
10,63,946
9,14,440
6,84,2167
2,90,1570
7,21,2619
7,99,1322
10,86,1112
4,71,433
10,75,2642
10,4,1853
1,44,165
4,39,338
4,18,2082
9,58,1777
4,69,1231
8,10,779
7,20,1122
10,7,108
3,89,1631
7,94,2755
6,82,1095
10,31,300
1,9,566
4,87,361
5,24,147
10,2,2257
10,13,271
7,89,2307
9,88,331
1,69,2136
4,10,1522
4,69,579
7,20,1833
4,2,891
5,6,2236
6,64,2290
8,50,2187
9,46,2414
6,21,427
3,17,2034
8,34,826
9,41,1599
4,45,223
4,49,1253
3,22,545
4,54,1169
4,24,2370
4,76,2450
6,67,1613
6,64,1054
8,87,1376
3,55,2223
4,77,2140
10,84,2083
9,19,1813
1,72,492
5,89,1584
3,10,1610
1,51,894
8,63,1353
4,2,1727
6,19,1012
3,13,61
7,86,1523
6,23,713
7,99,1014
7,4,1274
6,9,171
4,76,1378
6,17,1345
4,8,1471
6,52,1894
6,32,978
1,26,2078
1,51,1586
3,67,2293
6,70,1725
2,4,1669
7,87,2315
8,41,2301
