s,p,d
1,36,706
3,74,657
5,91,349
9,93,1982
9,69,1893
7,33,594
9,49,1031
10,65,1559
2,77,2132
10,71,575
3,45,621
2,93,539
4,48,527
4,89,1288
2,55,940
4,54,297
5,91,464
8,40,409
5,85,1751
1,37,604
7,62,1840
9,45,1163
10,58,363
9,93,1783
7,17,890
9,58,1981
8,50,269
6,11,1073
4,23,853
6,62,2012
2,54,1486
10,30,1534
10,85,2369
6,98,904
9,93,785
1,93,1442
6,33,1887
1,42,1406
7,57,897
1,42,179
10,19,1379
7,10,1827
5,83,273
4,36,2022
3,76,2140
3,7,1152
2,79,171
5,26,1043
7,8,339
5,8,429
10,78,1753
1,52,588
5,4,1533
7,85,2262
8,27,259
6,86,1748
5,10,201
1,62,1625
2,23,1187
7,9,885
9,23,682
2,10,1242
4,78,1129
6,22,1277
6,30,619
7,84,1413
10,32,1449
6,8,1696
4,82,1072
1,93,1342
9,82,398
2,12,2148
10,10,1101
8,12,1395
7,78,1234
