s,p,d
7,82,186
4,23,56
5,87,234
5,74,172
1,33,99
1,18,117
1,35,92
1,60,306
2,90,324
9,18,214
8,62,241
2,49,277
5,27,215
4,83,352
7,56,122
3,17,174
1,55,64
6,27,81
2,26,184
9,20,224
6,77,217
4,28,88
7,66,271
4,81,193
9,68,284
7,87,349
1,67,152
5,14,176
8,92,366
5,28,130
7,45,119
6,84,229
7,72,327
10,18,154
10,27,206
3,14,37
2,75,183
7,41,233
6,65,223
9,8,34
9,54,124
8,7,65
5,85,300
4,42,184
10,14,69
1,87,306
1,82,254
1,66,79
4,27,174
5,4,45
3,44,223
6,55,148
2,71,172
1,40,232
7,20,92
3,98,400
1,23,87
1,3,29
6,21,53
5,25,159
1,69,197
3,13,135
3,61,258
9,59,240
8,75,273
5,32,153
4,35,204
8,29,97
8,75,216
8,42,192
2,32,202
1,97,251
9,11,115
8,40,172
7,89,378
