s,p,d
1,45,2481
8,49,3025
1,76,2505
9,67,3066
2,29,1988
10,86,1601
6,61,399
10,73,1917
4,15,1289
3,50,401
10,67,1299
8,41,1965
10,30,876
7,53,487
6,69,967
1,97,1309
3,61,1109
1,87,2586
3,56,336
4,24,1681
5,89,2057
5,90,2868
7,79,3036
6,92,1560
8,70,1361
3,42,1976
2,57,2413
7,33,732
10,48,3272
3,4,247
7,7,2451
7,37,810
5,13,1947
4,91,610
6,16,2090
6,5,2763
8,82,1004
5,86,662
5,48,1150
3,19,2711
10,40,2539
7,88,2830
4,98,680
9,73,1306
2,88,593
2,2,355
10,67,1533
4,20,1972
7,61,2458
7,58,2546
4,86,1295
6,66,1364
6,62,2843
6,80,641
8,79,2969
3,5,2207
10,41,969
6,79,2200
6,56,1329
2,85,1749
1,5,2999
10,96,644
6,43,693
1,13,2529
1,76,2675
7,72,804
5,65,2166
9,97,1730
7,87,2448
10,64,2652
10,44,408
4,37,2369
10,96,2624
7,88,902
7,49,3066
2,25,400
5,62,145
6,20,2019
7,84,368
5,19,411
7,40,1168
9,98,1829
8,3,522
9,25,2092
7,28,1992
3,13,48
6,71,861
3,34,2701
7,44,824
4,77,869
1,64,569
10,85,2366
2,35,415
5,89,2275
7,1,2052
1,77,3030
6,37,467
1,90,443
10,12,206
6,7,1169
