s,p,d
3,86,274
5,27,195
10,76,167
5,62,162
10,36,119
1,21,153
8,72,258
3,49,96
5,89,306
8,90,223
6,37,194
5,16,133
1,38,140
9,32,88
10,8,109
3,51,243
8,46,200
2,64,249
9,14,118
8,33,59
9,72,224
2,23,69
6,13,146
6,94,215
3,27,72
2,91,323
6,71,125
9,21,85
5,69,138
10,74,142
9,82,251
6,86,360
7,41,122
8,89,302
3,15,117
2,31,65
8,41,169
10,30,91
6,1,63
2,67,147
7,29,175
3,30,156
1,71,220
7,39,69
2,75,178
4,89,302
6,15,134
10,2,139
8,45,204
6,32,188
