s,p,d
9,9,1218
9,4,1168
10,68,2431
9,96,1494
8,88,2079
9,1,720
2,1,1198
6,13,1257
1,72,1619
5,6,515
7,55,1879
6,71,1885
4,69,1570
7,85,2204
9,10,2540
1,21,1337
2,87,2982
10,27,1778
1,91,1182
6,6,1661
1,69,2097
3,97,1396
2,30,1197
8,99,2716
8,64,1063
1,46,275
2,61,138
3,66,1190
6,53,863
9,39,2322
8,53,3034
8,74,1671
9,95,1546
2,36,615
10,82,524
9,34,1932
5,19,2423
5,99,461
6,44,600
2,79,2769
2,51,1242
10,48,1175
2,94,570
10,90,1907
7,81,1936
7,42,1055
3,39,322
3,44,1877
8,65,3037
6,5,1106
6,49,827
1,10,828
8,63,1731
3,89,1823
4,26,2150
2,81,1391
3,23,1680
9,78,309
1,93,2892
5,41,2270
3,83,2548
3,18,1816
4,34,1967
7,72,1102
6,43,504
10,89,2975
10,60,1849
10,99,912
7,39,1477
2,35,3051
2,23,2285
2,64,2030
9,77,2715
4,87,1978
10,56,725
8,51,2214
7,99,2761
4,74,1064
2,64,2278
3,40,864
8,84,1967
5,35,2872
2,44,2768
1,2,3015
6,89,2037
1,83,2119
9,38,2418
9,25,1971
9,26,2214
8,7,112
3,39,1770
1,85,506
7,78,2404
3,6,1859
8,15,728
7,58,304
4,52,1547
9,66,1096
10,87,1949
9,50,1793
