s,p,d
9,20,1158
4,38,466
5,7,1661
1,94,518
3,8,132
10,53,290
8,25,419
3,95,904
3,96,1507
1,98,1530
2,43,1402
6,1,93
9,74,257
4,60,1528
10,24,2038
9,85,554
7,80,895
9,60,1422
7,92,1708
7,28,1941
5,27,1421
1,72,297
6,26,1598
1,43,335
5,68,1460
5,79,1771
1,81,2296
3,66,2005
1,90,1666
8,79,996
4,68,783
8,65,715
7,58,821
2,5,32
4,53,1590
4,93,1030
6,82,364
3,8,2142
6,2,72
8,81,2232
2,36,1668
9,61,1216
7,62,1964
3,63,1283
4,1,1360
3,7,220
1,80,805
5,41,204
8,58,573
1,40,279
7,59,2225
4,91,1582
1,11,1064
7,34,1202
4,47,991
6,99,1148
9,45,1913
3,89,2156
2,75,1936
10,44,769
8,33,1694
4,45,626
7,21,172
8,7,72
9,65,88
8,95,530
7,17,1498
7,27,1130
4,31,705
6,79,263
3,88,2325
5,93,166
10,24,149
9,75,1248
7,44,824
