s,p,d
9,26,992
8,66,220
8,51,851
1,85,1453
1,93,1564
10,73,1067
4,38,475
10,41,495
2,25,1468
3,92,1009
6,86,1511
4,63,619
2,46,210
7,59,453
9,46,156
1,82,818
6,23,930
8,29,667
4,17,285
8,86,948
1,21,1049
3,65,633
2,42,789
4,75,1042
4,16,347
8,64,121
2,19,1321
7,59,902
5,27,776
6,12,621
6,66,939
7,86,578
10,2,517
8,92,649
6,16,755
7,14,877
5,21,506
5,17,1013
8,49,455
7,9,586
4,64,1299
9,4,526
9,65,1100
9,95,350
2,90,1196
4,85,503
8,97,305
3,39,610
6,67,889
6,64,567
