s,p,d
3,15,1918
9,35,618
10,58,1612
3,90,1324
5,43,1155
9,29,641
1,83,1153
4,27,1770
9,23,64
7,54,362
6,69,1272
5,91,920
3,63,679
9,87,835
3,91,955
1,39,361
10,98,1460
3,16,246
1,58,1177
2,97,1786
10,14,1625
9,50,637
2,5,113
2,11,228
5,8,646
10,93,1717
4,21,578
7,16,327
7,88,1402
2,28,530
8,25,1658
9,57,466
5,17,1068
8,55,852
2,67,1059
9,43,1750
1,73,290
2,64,1437
1,73,1231
9,28,1197
1,78,226
7,43,1760
9,24,1720
10,51,2036
10,35,1460
2,26,1904
4,72,791
3,89,798
3,21,1729
1,72,570
7,6,800
5,74,381
7,8,123
10,91,1951
2,33,1775
2,18,600
1,31,1159
10,5,1466
5,17,817
2,99,1654
9,81,1928
4,35,1026
6,44,1199
9,80,1054
5,48,375
2,46,1231
10,29,1608
3,51,2011
7,87,1249
9,16,1149
9,59,1337
3,28,469
3,43,1003
7,34,1123
1,75,1888
