s,p,d
8,41,239
3,53,266
4,97,465
8,2,72
1,90,466
8,33,131
8,89,388
9,13,125
4,41,235
3,51,429
1,63,391
1,80,266
1,26,241
5,82,313
8,16,176
7,4,99
10,5,112
1,92,139
10,19,90
2,99,531
5,48,383
4,61,342
3,51,349
8,20,112
4,27,100
10,96,185
6,17,130
5,61,301
3,70,312
1,35,172
3,66,205
9,54,111
5,25,264
7,32,294
8,84,471
2,54,323
1,92,267
8,37,222
9,80,456
6,3,151
10,64,330
6,60,293
6,60,172
10,92,201
8,35,124
2,17,152
8,90,355
8,6,43
1,9,45
2,71,423
1,40,220
7,54,365
6,83,348
6,62,300
1,20,204
9,86,297
3,45,229
7,17,48
4,3,47
6,14,71
3,19,185
3,51,360
4,41,250
8,86,250
3,33,206
4,57,313
5,58,125
7,85,332
6,56,385
3,80,263
10,31,251
7,97,554
6,31,186
3,86,391
3,75,395
