s,p,d
6,42,171
9,88,384
4,73,110
6,40,137
9,17,25
10,84,315
5,53,190
5,78,299
4,85,421
6,82,239
6,84,383
10,87,436
2,87,304
9,81,403
7,70,157
9,51,324
6,60,379
7,76,293
1,12,314
1,91,334
1,19,47
7,93,445
7,91,244
4,69,177
3,56,187
1,79,243
10,10,158
4,44,111
3,95,446
2,9,59
3,39,183
1,55,297
5,75,254
9,49,337
7,41,224
5,53,196
4,64,313
9,48,290
9,93,475
8,50,307
1,26,178
8,71,426
1,74,326
1,33,160
7,15,82
3,62,113
8,77,404
5,88,426
2,8,184
6,57,130
4,62,359
3,89,425
6,76,187
10,19,63
1,48,330
9,95,367
2,97,472
7,25,278
4,36,258
6,11,179
3,98,347
8,82,299
4,80,298
6,66,200
4,40,205
5,85,417
9,87,214
8,50,83
7,40,179
5,11,161
7,57,337
8,62,297
8,31,239
5,40,216
9,60,118
6,18,340
2,58,297
8,38,345
3,54,326
5,87,341
8,13,160
2,54,219
10,36,323
10,66,403
9,97,371
4,64,261
8,30,110
9,88,371
1,49,389
1,55,188
8,22,91
10,79,328
7,70,371
4,39,233
6,14,338
10,35,103
4,26,79
7,14,181
3,38,110
1,56,268
