s,p,d
8,30,155
5,61,239
10,80,243
9,8,102
4,11,67
5,11,58
2,2,57
2,16,84
10,52,185
10,82,304
5,94,324
2,84,470
1,51,279
2,28,154
10,89,510
9,77,299
4,57,310
8,75,135
7,56,203
10,80,389
6,51,347
9,93,445
1,47,139
4,84,482
6,55,369
3,8,37
1,72,324
4,15,66
10,84,267
3,43,210
4,29,273
4,98,529
6,31,115
7,10,119
9,44,296
9,65,164
1,92,383
2,24,66
2,79,162
10,90,450
5,31,117
5,67,257
2,54,270
7,66,350
6,73,385
2,81,353
9,20,209
5,24,105
9,51,120
8,6,110
