s,p,d
3,60,250
9,67,213
3,22,113
2,63,229
3,17,102
4,25,150
6,62,267
4,42,242
6,84,435
6,70,124
4,72,97
4,32,304
1,30,81
5,52,179
2,7,68
2,4,194
7,36,303
5,53,141
6,80,303
9,86,562
4,92,354
7,10,74
6,10,124
1,89,231
1,79,430
4,37,262
5,36,130
3,8,49
7,33,233
10,17,186
7,35,221
10,21,75
9,97,539
1,96,195
9,13,57
2,66,340
8,69,318
5,63,129
7,93,326
7,23,150
7,25,124
9,99,287
3,91,274
6,55,244
2,38,258
7,47,295
5,74,326
7,67,280
4,88,379
7,38,72
5,8,164
5,31,157
6,43,348
10,19,78
2,92,344
6,7,70
5,47,332
1,71,340
7,85,459
3,50,276
9,81,419
10,6,152
4,15,89
1,9,56
5,23,153
3,60,361
7,73,193
4,5,62
3,86,269
4,62,237
3,8,171
1,2,118
9,48,215
3,8,134
7,86,340
