s,p,d
7,8,140
8,29,252
7,6,15
4,22,100
8,99,114
5,16,185
4,94,307
8,8,184
10,24,158
7,52,222
1,75,266
6,14,130
4,7,138
2,92,319
6,79,324
10,28,102
3,49,179
4,24,75
3,92,217
9,96,262
8,70,155
4,82,246
7,20,225
7,15,135
4,91,300
5,8,152
3,87,295
7,49,114
9,60,255
5,41,276
8,85,195
3,99,235
3,7,196
9,48,232
6,41,169
1,3,148
8,43,119
2,99,311
2,38,208
8,65,136
6,95,277
7,63,150
2,68,365
4,36,156
1,73,318
9,58,190
6,23,184
6,27,91
4,85,360
6,27,157
3,14,112
7,54,196
6,78,296
6,63,232
8,52,158
4,28,103
2,23,126
9,60,269
3,34,240
5,80,265
6,41,150
8,6,118
4,96,419
4,23,57
9,55,257
8,17,78
2,85,115
2,46,235
5,94,401
5,2,23
7,72,195
3,60,266
3,22,178
1,71,312
9,12,125
