s,p,d
7,35,1284
8,57,207
9,90,362
5,29,319
9,60,717
1,73,402
3,28,873
4,67,555
1,59,874
7,64,481
10,83,376
6,52,1143
9,23,987
1,40,1386
7,62,347
3,26,805
8,65,475
4,19,835
5,13,460
9,83,702
9,93,322
9,9,1221
5,7,61
6,17,644
4,8,272
8,44,1319
1,63,517
5,16,643
9,41,1033
7,33,279
8,8,1290
3,94,877
7,43,128
7,69,1082
6,67,537
6,63,1453
4,83,1040
4,63,688
8,6,895
4,32,1210
4,17,1253
10,18,805
4,94,1062
6,57,789
4,64,1237
9,41,489
7,20,679
2,16,1126
1,48,1356
2,92,484
