s,p,d
3,52,1500
3,15,423
7,21,739
9,67,1179
6,11,1885
1,99,1319
7,84,1676
3,72,1340
3,5,2208
8,52,2857
9,60,401
2,3,2291
2,28,808
10,64,2678
7,62,808
5,11,486
9,22,1072
9,54,1776
1,6,1297
1,54,2477
10,22,365
9,29,593
7,68,3160
10,19,2315
3,30,1425
5,81,2609
6,85,2129
5,95,1899
8,30,1288
8,31,1986
1,86,1730
8,78,2591
3,43,1305
9,91,2690
5,63,1931
10,16,2667
8,17,2142
8,91,2012
8,81,1072
2,81,1864
6,53,423
4,18,1352
1,26,348
4,5,1012
7,71,1643
7,5,2175
6,82,716
1,16,950
6,14,2226
10,62,3041
4,67,2105
9,45,896
8,83,2378
5,31,1116
10,74,659
3,51,1556
9,28,1334
4,86,2245
5,81,1158
7,92,2466
6,44,2598
2,73,760
3,79,1823
5,30,2787
1,40,2156
3,88,1964
2,45,1737
1,70,1308
10,21,2279
4,77,2817
5,52,946
4,50,1969
10,17,1024
6,99,3027
7,13,2496
9,52,1109
6,51,533
4,9,2045
2,63,2201
8,60,881
2,41,2695
6,71,2546
7,91,2409
2,53,2344
4,34,1659
10,44,2981
5,85,3014
10,38,2735
9,92,632
5,56,2935
2,40,1166
2,14,2250
3,6,905
9,61,972
9,83,1043
1,82,2121
9,41,552
2,3,772
6,53,1695
7,89,974
