s,p,d
6,45,185
9,70,207
3,93,428
10,62,326
7,10,114
10,23,264
6,50,340
8,59,129
9,17,250
2,88,299
1,45,328
3,81,432
2,48,246
3,99,171
4,49,285
7,57,276
1,98,281
7,72,192
1,30,279
2,37,186
6,46,150
7,70,325
2,87,325
10,83,243
8,70,424
9,21,84
9,47,232
7,4,87
6,96,158
7,55,322
10,66,371
2,9,125
9,87,445
6,97,265
2,96,202
6,21,153
5,63,440
7,83,513
5,74,233
5,11,165
10,67,208
10,20,146
7,55,348
4,76,411
3,62,281
7,82,298
9,79,156
8,60,277
2,73,415
2,49,298
