s,p,d
8,95,580
3,98,170
1,71,154
1,51,259
3,71,316
6,80,499
9,8,91
5,56,314
4,8,210
7,92,241
3,24,200
1,50,252
7,46,118
2,77,317
2,86,391
1,61,273
4,77,308
3,86,364
2,63,466
6,58,260
6,32,197
2,14,126
8,50,333
2,67,181
5,59,143
10,4,19
5,97,309
8,83,391
8,96,288
7,58,187
8,24,183
8,67,195
4,22,135
9,20,252
2,10,53
2,22,151
6,95,182
10,53,240
1,82,226
8,67,294
4,91,540
5,5,67
8,95,382
3,94,392
5,9,48
10,51,228
2,83,320
4,14,111
10,84,299
7,50,99
10,8,57
1,84,479
8,75,331
5,50,215
10,99,527
1,35,101
2,47,225
3,18,207
1,80,219
9,72,296
2,32,111
1,31,247
1,67,251
5,76,490
6,92,622
8,71,248
2,78,385
2,80,508
8,52,424
1,98,499
4,15,177
7,43,119
8,37,283
2,15,164
1,31,194
