s,p,d
10,19,1379
9,43,847
7,84,628
10,97,2515
3,16,567
8,16,1637
3,50,819
7,21,740
4,47,1554
7,47,1756
1,61,240
4,64,2706
8,60,1601
6,22,2383
10,60,1452
10,48,1191
7,4,1895
1,4,744
4,44,1003
6,45,1545
5,66,1731
10,88,1783
9,18,2742
4,12,847
10,54,1238
4,13,720
5,98,1840
10,52,2049
8,8,1744
4,86,713
10,43,2397
1,31,1762
3,52,2805
2,67,2420
6,26,1523
6,12,1842
5,87,881
9,74,513
8,40,2025
4,37,2013
5,23,1405
4,39,2503
10,50,1181
9,51,2343
9,31,635
7,87,857
1,72,1698
2,52,506
10,59,982
2,70,2628
5,3,1821
9,88,2495
9,67,1536
4,20,2349
4,64,868
9,85,1328
4,5,1738
2,55,905
3,16,1208
2,20,2386
8,23,1631
6,15,190
2,76,1873
10,17,1016
9,37,567
1,33,326
3,4,1409
9,4,1476
9,5,1955
7,52,894
7,1,773
10,82,801
10,62,2143
2,71,2344
9,57,1279
3,53,1229
4,86,1587
4,36,872
3,42,257
7,67,2208
2,98,605
6,59,1608
8,22,1826
4,20,1205
3,4,2260
3,84,1105
7,14,345
6,86,1062
4,67,584
4,85,1067
4,93,2002
6,81,2850
7,33,209
5,9,71
4,18,1975
6,77,2615
3,73,2693
6,38,2695
2,3,1093
9,33,239
