s,p,d
1,62,1092
10,65,1145
10,78,804
1,33,287
4,80,1020
5,72,1797
2,92,1633
6,55,1543
8,3,311
6,33,1463
9,47,1141
10,40,1266
2,69,358
5,66,385
6,96,804
3,97,585
4,51,1537
10,26,1057
10,28,355
7,17,1305
8,22,1425
10,28,309
8,1,1400
4,99,1378
2,52,332
3,87,428
4,19,510
2,38,656
6,62,966
7,25,728
8,47,1645
8,15,431
1,3,961
5,84,1368
8,54,861
3,57,1024
6,67,1587
3,98,836
1,4,684
2,14,1242
10,50,1237
2,96,1347
5,80,468
7,83,1332
2,46,1484
10,42,144
7,49,598
7,69,1513
7,73,1478
7,9,288
