s,p,d
2,43,385
6,59,350
6,33,262
3,76,272
2,57,211
5,96,144
3,88,364
3,42,200
8,99,498
7,10,195
7,90,374
5,83,353
10,46,243
6,82,267
6,79,378
6,7,276
5,10,128
9,72,140
10,31,238
10,71,305
3,87,476
5,81,283
5,43,327
10,36,149
2,54,468
5,78,443
2,31,301
1,42,147
8,86,500
1,40,167
6,80,468
7,31,333
10,32,344
2,40,322
1,30,266
3,96,498
5,9,97
4,73,283
6,97,696
1,84,363
8,48,119
4,24,69
6,27,216
10,18,69
9,71,339
3,54,139
2,1,176
4,66,459
7,4,146
3,50,165
8,58,470
9,57,264
4,28,93
1,93,213
6,80,345
3,13,187
8,77,284
4,72,531
5,90,430
1,32,286
10,60,341
5,35,119
4,2,264
7,11,207
4,25,66
6,71,545
8,3,283
2,96,611
7,63,471
10,42,230
5,84,296
2,84,398
6,50,120
9,38,304
5,85,287
3,44,104
1,28,330
2,81,401
3,2,201
6,89,521
10,9,197
8,62,285
4,13,302
3,86,203
3,38,244
4,13,289
1,58,259
9,94,387
9,82,406
9,20,346
3,41,371
10,46,299
9,53,403
9,74,629
3,81,405
1,69,435
7,76,237
8,59,314
3,93,217
3,39,163
