s,p,d
4,60,119
10,54,477
3,16,317
8,74,460
8,87,320
10,63,219
8,93,375
5,46,91
6,30,372
4,29,259
3,47,263
9,50,229
7,58,266
3,93,352
5,35,299
9,72,259
7,32,146
9,20,310
7,6,129
3,4,228
3,42,230
7,72,377
8,74,511
8,87,684
6,9,154
6,24,337
4,28,194
3,96,401
6,5,77
2,10,238
10,74,365
5,56,282
6,22,330
2,11,291
8,22,91
2,94,305
6,74,348
9,82,229
5,6,171
9,38,280
10,40,319
1,13,47
2,43,341
2,42,254
6,32,105
2,25,101
1,35,271
5,62,449
7,24,347
5,13,229
5,92,276
10,54,328
7,94,670
4,14,63
1,16,169
7,27,317
10,20,201
3,27,179
7,98,416
5,9,204
1,4,241
2,54,209
4,76,291
5,80,573
2,40,235
6,96,166
7,7,83
3,24,279
10,17,151
8,71,351
1,98,655
7,14,32
1,55,335
4,77,185
1,64,262
3,55,435
7,90,142
9,93,305
9,18,260
8,43,163
8,81,377
8,18,42
7,10,202
2,77,378
9,70,558
3,42,276
9,2,234
1,98,455
5,65,281
4,61,226
9,64,379
8,73,172
8,74,566
7,22,307
5,39,143
8,13,170
5,70,472
6,18,149
8,10,195
8,24,171
