s,p,d
6,63,226
6,15,110
9,31,45
2,76,143
5,22,126
3,74,249
2,1,5
8,56,197
3,53,351
5,72,283
4,98,328
7,18,261
10,63,299
1,19,276
1,16,243
6,54,370
8,51,99
4,62,298
6,35,286
2,34,266
7,86,370
3,29,51
5,19,191
7,17,102
4,13,182
7,3,45
3,35,294
1,98,271
4,95,349
5,43,64
1,26,127
7,2,49
8,8,266
9,49,352
7,8,94
7,98,376
2,50,272
6,41,232
4,11,185
6,75,355
5,12,102
5,97,336
4,60,237
5,27,177
3,63,331
8,25,292
10,87,236
7,3,205
2,92,442
3,62,275
7,87,454
9,71,233
5,77,267
8,19,273
2,5,183
6,38,352
5,91,260
8,64,434
10,63,192
9,95,172
5,59,218
4,41,221
10,31,113
7,9,231
2,24,211
5,22,172
8,23,157
6,37,212
7,85,177
6,5,192
7,41,228
10,2,138
6,51,292
7,39,73
4,51,148
8,82,178
5,33,311
7,99,273
8,2,60
5,55,319
5,81,155
2,87,396
4,72,257
8,66,288
6,58,280
9,78,303
7,65,432
8,43,134
10,47,283
2,98,294
4,34,212
9,50,179
8,95,249
8,46,284
3,50,336
9,64,149
10,2,263
4,48,147
2,1,4
1,13,119
