s,p,d
5,9,137
6,72,386
3,14,194
4,9,38
1,2,28
7,44,275
2,91,338
5,61,270
7,36,112
1,75,386
7,93,376
7,83,260
4,58,279
9,57,185
9,46,209
3,68,168
6,42,186
4,2,172
9,95,355
6,60,261
4,61,115
4,77,340
8,98,279
8,77,293
3,96,178
7,92,360
9,53,195
3,58,105
8,80,247
6,18,79
7,56,221
8,47,345
6,85,388
4,34,253
4,13,253
7,19,41
2,40,117
5,33,327
1,76,290
5,45,81
10,94,326
1,45,178
9,22,165
8,87,354
7,14,220
9,7,148
1,66,203
9,40,202
3,8,217
5,67,344
4,16,266
4,1,65
7,11,145
7,35,100
8,63,251
6,86,382
8,82,338
7,50,245
2,7,218
1,77,231
6,62,356
5,14,68
5,23,100
7,12,221
10,44,113
4,38,121
4,67,396
5,4,14
5,8,169
3,36,183
6,11,233
4,8,121
7,71,372
7,59,300
4,23,206
7,19,32
8,88,242
2,62,136
8,83,252
7,12,118
10,83,149
7,13,233
4,37,225
9,9,234
4,25,143
4,27,151
3,80,184
8,1,26
7,30,70
1,58,83
9,95,222
6,86,178
1,15,56
3,10,142
8,10,46
3,72,424
5,76,201
7,96,503
1,3,255
9,84,274
