s,p,d
4,39,995
6,46,911
9,28,357
7,71,533
9,4,671
6,27,428
1,79,1226
8,41,1089
7,37,228
7,76,1079
4,24,808
7,70,839
5,2,79
6,84,307
4,51,453
6,81,359
3,69,611
5,7,319
7,65,1102
6,3,1062
5,92,791
5,91,535
4,22,72
9,14,905
1,5,1172
7,21,897
1,5,738
8,9,79
5,71,721
2,9,592
7,36,594
6,8,12
10,68,1052
8,24,327
3,25,703
10,3,664
2,93,1295
9,61,1479
9,60,1142
1,46,905
8,34,392
10,37,119
2,28,1254
3,62,1084
2,47,1206
7,36,747
9,75,862
4,16,103
5,5,674
6,81,1531
