s,p,d
5,55,273
5,95,139
8,7,131
4,7,103
5,11,88
4,48,251
7,49,213
7,38,227
7,12,118
10,8,135
10,78,256
9,72,158
4,61,233
6,60,220
10,57,267
2,3,60
9,58,101
5,40,176
10,60,210
2,34,138
8,22,139
4,26,185
8,18,105
7,55,169
10,44,84
1,67,147
4,95,107
4,28,199
5,98,322
4,58,156
4,9,66
4,33,162
10,61,65
10,38,92
1,72,195
4,36,99
7,88,361
7,36,115
3,92,391
2,8,135
7,29,183
1,55,271
8,98,225
6,68,267
8,61,139
9,86,225
6,99,254
5,76,157
5,85,269
5,68,130
