s,p,d
4,87,2321
9,96,2361
9,66,771
4,85,1776
8,68,2500
6,37,2521
6,99,970
4,13,858
4,26,1398
6,51,1671
5,63,1088
5,52,761
2,25,2432
7,1,3177
2,65,2611
8,21,3131
7,80,1370
5,13,1784
8,11,692
10,77,1942
8,85,2016
4,48,710
2,61,2801
10,65,3121
3,97,1217
2,99,1501
8,29,271
8,65,2438
4,51,1293
1,23,2604
9,14,1494
5,11,524
1,11,2947
4,20,1912
6,72,1538
7,32,1170
9,58,2322
6,47,801
6,29,1497
6,30,775
5,27,2400
9,66,2753
10,20,3276
8,98,3042
3,59,369
1,24,1468
9,79,3350
5,86,3241
10,16,1391
10,92,2858
2,60,279
7,77,1797
3,14,1532
2,15,2464
10,90,554
4,33,570
10,1,1904
6,15,2499
9,76,619
10,52,1221
5,76,1098
1,30,758
7,29,1925
4,88,3347
8,41,1327
10,87,615
9,40,2545
8,79,2394
8,85,1917
3,16,1165
6,90,1464
10,35,2633
6,21,3242
6,96,2766
5,95,873
5,58,2698
3,45,3096
4,47,2638
9,87,1552
8,96,2513
8,40,1669
3,47,2005
3,43,1546
9,37,1963
3,19,3018
10,4,3000
7,35,3259
10,33,730
10,97,1361
3,47,2780
1,34,2405
3,83,324
6,13,3185
9,68,1818
9,40,1634
2,24,2646
6,78,2865
10,97,560
8,54,1735
9,83,3415
