s,p,d
1,65,163
5,73,210
2,11,104
1,65,234
5,12,124
2,42,135
10,89,257
6,60,189
10,15,25
9,83,284
3,27,98
3,78,235
1,20,112
2,87,280
3,24,168
8,59,84
3,60,140
1,83,198
3,81,281
9,46,109
10,73,215
5,26,150
4,43,142
3,49,128
4,62,203
4,34,120
4,78,302
5,41,207
2,91,280
8,53,241
9,87,310
5,99,136
7,22,48
7,65,145
10,63,85
10,77,307
7,80,272
7,30,64
8,76,171
10,19,152
7,68,114
5,66,211
5,6,58
3,3,65
2,15,59
9,69,210
2,99,311
8,35,97
1,49,217
6,70,172
