s,p,d
5,38,255
1,29,292
7,24,331
9,2,26
5,99,331
5,15,151
8,23,236
10,78,227
2,96,510
10,65,114
1,69,194
10,76,337
8,87,208
5,67,161
4,12,150
1,91,200
5,81,287
8,47,189
7,43,362
9,96,276
9,11,211
1,15,99
8,93,373
5,64,249
9,42,182
1,46,67
5,57,245
7,12,130
9,19,82
7,2,71
7,56,420
7,87,426
6,45,267
4,81,415
2,42,235
3,96,217
7,16,71
9,17,98
4,40,219
2,61,370
7,63,180
9,4,71
4,24,295
10,25,180
4,59,406
9,70,234
2,33,95
6,84,223
5,54,229
5,84,426
10,21,93
7,67,470
9,38,287
2,91,217
8,53,412
4,42,94
8,60,192
1,4,240
9,25,339
9,71,191
7,65,269
2,11,218
9,37,294
6,94,277
1,87,237
3,39,308
7,91,222
5,55,153
8,62,287
3,46,338
2,32,168
1,62,412
10,95,225
4,49,445
10,27,67
7,90,282
6,51,388
2,94,464
9,76,326
7,16,70
9,87,354
1,64,358
6,74,170
6,93,216
7,33,216
5,19,149
10,90,523
4,64,215
3,90,333
1,75,154
9,5,175
1,9,171
2,86,416
7,31,344
8,65,277
2,34,330
9,53,103
2,15,134
6,98,315
3,98,428
