s,p,d
2,83,1185
4,85,1641
10,56,1988
3,42,1077
2,63,602
8,93,2357
10,52,908
4,28,586
4,71,2424
3,33,1429
6,70,380
5,80,1821
9,74,1984
5,46,1068
10,42,423
1,26,1228
8,90,929
3,1,1760
1,91,1170
7,58,1971
1,43,1289
4,15,663
4,2,1026
1,23,361
8,66,511
5,30,1693
10,39,2223
4,64,410
4,27,1808
4,19,1846
4,3,1733
5,99,1439
3,8,597
5,23,751
4,13,1575
3,25,1182
1,9,465
6,41,815
2,43,1782
8,70,1217
7,96,2026
10,37,959
1,82,564
4,84,2137
3,89,858
4,8,122
8,38,2154
7,62,1044
5,75,853
5,67,937
8,76,2334
10,5,1975
8,73,508
3,80,1327
10,1,113
7,16,1316
2,33,2141
6,34,1847
3,65,783
1,44,1291
5,59,1884
10,40,590
9,29,194
2,55,514
3,93,707
3,77,221
3,50,1952
1,46,1967
1,19,89
5,75,1046
8,3,941
7,90,1081
4,5,250
7,34,2279
8,54,137
10,31,717
2,93,428
7,73,957
5,60,2115
1,98,1648
10,22,1929
4,34,1111
1,7,329
2,80,1989
6,78,881
5,3,939
1,90,509
3,12,906
8,1,27
2,83,466
3,32,1108
5,22,2171
8,9,712
9,3,907
6,25,868
10,4,2021
5,77,964
2,53,2133
5,35,384
1,24,1864
