s,p,d
4,41,1405
10,22,224
10,63,1952
5,85,266
9,79,564
9,73,693
5,76,1780
6,70,2552
10,80,2892
5,21,1436
1,43,1623
9,61,1993
1,93,304
5,60,2886
1,80,2587
2,68,898
1,76,2531
9,17,1199
2,56,1127
1,70,603
3,49,2705
6,77,493
10,53,883
7,10,721
7,98,914
9,56,1878
5,93,1610
2,34,2543
4,1,574
7,5,1838
4,87,2753
1,63,2040
8,3,801
10,51,736
4,25,81
8,9,1944
8,26,934
10,82,2217
9,2,409
9,21,1985
3,16,1404
3,65,866
2,89,1725
9,74,1573
2,22,1879
8,95,692
2,31,2763
2,96,1257
9,24,1987
4,2,1135
7,86,2353
8,26,2643
7,87,399
6,63,1014
3,8,2405
3,10,1171
6,63,1321
4,89,1349
6,56,204
10,52,2915
9,16,1456
6,22,1147
5,53,822
3,72,1594
6,3,2220
6,74,2934
4,71,327
7,31,1870
9,74,2113
9,20,951
4,64,964
10,73,694
10,34,2177
6,5,386
8,26,1712
10,16,1235
8,3,2024
2,4,645
9,2,1021
1,73,1575
6,58,374
10,16,39
9,18,2198
5,20,453
8,86,1901
1,96,542
4,73,2109
3,87,1234
4,78,2508
1,21,1223
6,42,306
2,5,1143
1,60,2841
7,96,1926
1,32,446
5,71,1546
9,74,2571
9,1,1411
4,73,2466
4,69,1029
