s,p,d
3,81,1626
3,33,463
6,30,904
3,76,1230
10,69,389
7,19,187
6,17,263
8,97,1020
3,10,1174
9,15,1958
10,5,420
4,1,1750
5,95,1892
4,57,626
3,62,1486
2,57,306
4,5,871
3,59,1036
2,86,1719
7,92,1791
1,15,1473
8,71,959
3,11,1646
4,3,559
3,89,1818
2,39,846
4,86,1854
8,50,754
6,69,1259
9,45,1339
3,64,906
2,49,1401
7,38,1039
8,36,339
8,55,611
10,38,323
2,77,1200
9,38,811
8,84,909
3,43,2076
3,20,1804
8,67,355
7,26,447
4,21,2036
9,70,2241
9,16,1144
9,31,182
4,2,933
8,36,1904
7,35,206
8,42,783
1,4,963
3,28,1061
10,98,634
10,94,1092
6,51,2092
9,56,879
6,57,1324
4,3,1171
8,66,887
2,17,125
5,84,1329
5,40,1574
4,61,1634
7,56,1263
5,4,1506
7,97,1938
8,4,707
1,31,1390
10,2,1639
1,39,515
6,84,510
7,53,569
8,39,1174
9,42,904
