s,p,d
4,54,244
1,69,346
8,24,152
3,70,289
8,77,198
2,93,209
8,88,337
8,30,147
9,48,251
4,67,363
7,33,120
3,77,275
6,62,139
10,77,266
6,53,293
3,73,167
4,75,310
1,26,118
10,85,401
7,26,68
9,54,256
8,52,318
8,74,360
6,76,274
2,51,273
4,89,187
9,70,207
6,29,98
3,34,261
5,58,154
10,78,296
1,6,139
10,43,167
1,91,280
6,26,90
2,53,360
3,81,413
9,12,37
7,87,311
7,75,228
8,59,289
2,30,137
5,29,80
3,9,65
2,57,165
10,94,256
5,5,133
4,38,117
2,39,191
6,64,241
5,81,162
2,38,196
2,95,127
5,39,81
8,5,89
9,69,206
5,35,270
2,2,153
4,99,198
7,97,407
3,94,311
10,21,158
3,17,193
9,58,328
8,6,146
5,78,276
9,99,381
3,52,141
1,92,383
10,41,275
1,13,199
1,90,184
7,99,308
3,56,167
10,85,458
