s,p,d
2,81,1582
3,22,930
9,5,1668
7,55,1186
5,31,1043
5,37,1259
3,53,1811
8,51,623
6,63,1821
1,43,1407
2,68,272
8,57,786
5,30,159
9,43,740
4,28,183
10,33,1209
2,17,1748
4,13,1643
8,83,1151
2,88,596
1,52,1097
3,60,206
10,65,1440
3,99,1271
7,94,2320
3,76,1878
3,67,1326
7,94,698
3,21,1646
7,88,1318
2,25,1593
8,56,745
8,97,1921
6,78,1183
7,77,1340
1,80,1456
5,35,581
3,4,929
10,22,478
9,44,547
10,30,1132
1,5,1029
1,48,945
7,52,2018
4,4,1552
2,91,321
8,68,1281
3,71,979
1,19,1737
5,26,910
8,29,1906
10,57,455
6,86,2333
2,85,2074
9,12,1003
3,57,169
1,64,542
4,24,1421
4,24,1828
5,17,1646
6,33,418
5,6,852
10,72,1125
2,61,580
1,71,2011
8,39,554
9,27,749
10,69,555
8,14,1337
7,92,1211
5,77,1276
7,31,1873
6,89,499
5,2,1832
6,60,1098
