s,p,d
9,31,1137
10,82,1668
4,83,1144
4,2,1473
4,13,1532
8,7,2055
10,17,1614
9,80,437
4,51,1278
1,34,1780
2,51,1362
3,68,1116
1,26,2261
9,53,1901
3,31,2319
9,15,343
10,14,1898
9,69,2252
4,36,2121
1,20,374
7,47,1268
3,36,390
4,51,653
4,38,1252
6,3,1708
1,21,1060
3,87,1147
5,13,409
6,41,2398
8,18,1260
5,31,1081
4,50,365
1,78,1724
10,83,235
2,35,630
1,37,915
4,93,321
4,23,1436
9,49,1468
10,80,686
3,77,1207
1,5,563
6,79,1532
4,7,1557
1,13,1058
9,21,1853
2,96,1552
2,76,2116
10,98,628
3,73,764
2,75,2512
10,50,1883
6,8,624
1,13,1979
2,68,1575
1,91,1930
6,84,2058
1,3,928
7,24,1456
6,94,1741
6,77,1954
4,24,1432
5,43,2358
4,69,1657
9,14,1203
10,22,1988
10,60,2230
7,49,829
2,3,2235
6,85,1237
5,77,1331
6,39,353
10,87,1636
7,64,508
3,33,792
9,2,966
4,28,321
10,25,426
4,93,929
6,90,573
2,19,565
5,49,89
1,3,2143
5,1,1633
8,53,1655
1,55,604
6,57,1609
7,75,2302
9,16,1396
5,75,2093
10,23,2116
5,43,2049
3,18,1118
8,56,1606
8,80,2302
4,85,2483
3,70,2392
2,6,360
1,26,797
8,59,2344
