s,p,d
7,13,1231
8,51,1891
3,79,1731
3,28,1349
9,26,1437
7,70,191
4,83,1686
1,75,1107
6,96,2282
6,44,693
3,56,2243
9,73,599
6,4,612
2,34,917
3,23,2150
10,78,2437
4,86,2388
10,82,1767
9,2,2437
4,59,2273
9,94,2719
8,45,1051
3,82,1728
5,3,389
4,90,2544
10,52,1885
3,42,950
9,45,2538
7,84,310
6,22,837
6,93,744
9,51,393
4,2,615
10,99,2039
4,85,888
9,24,1337
2,92,695
4,40,1094
2,15,337
8,56,397
6,83,1353
3,26,2479
6,10,1393
7,15,1383
9,52,2317
3,23,1768
7,16,1233
4,68,1050
8,60,1633
7,73,223
6,49,2379
5,48,2170
5,1,63
8,27,1308
1,66,2216
3,45,1392
2,5,648
4,8,51
2,83,2237
10,51,1186
2,67,2253
5,26,748
1,27,2125
3,32,1558
3,25,1598
8,14,1508
3,23,354
2,40,1318
5,59,2711
7,8,75
1,30,1725
7,61,581
6,49,2240
4,74,2549
6,98,1893
2,6,1704
3,50,2194
9,54,113
5,75,2322
1,28,1061
8,17,2112
5,64,854
10,45,2285
8,96,2449
6,65,1239
4,27,1129
7,10,1982
6,84,1077
9,65,1841
2,35,1802
2,95,578
8,15,2214
10,76,1811
6,61,2262
9,19,946
1,26,2305
2,19,1233
2,2,758
3,63,168
9,94,2187
