s,p,d
4,91,1855
4,91,324
5,88,468
6,38,2850
9,61,1062
8,55,1409
4,72,3110
8,68,1815
7,93,1787
4,34,2475
6,8,2495
6,49,245
2,80,1002
8,93,646
7,37,2318
1,14,273
6,81,895
8,89,3044
4,27,1470
6,68,1307
2,62,1180
10,37,1596
5,22,978
7,16,1339
5,79,3074
2,7,74
8,46,1820
6,31,189
3,88,622
1,58,2896
9,36,774
7,65,1876
5,3,2475
9,26,1929
1,6,268
2,87,2377
8,77,1786
7,16,2237
2,66,1944
8,66,2830
7,40,2444
2,68,993
9,62,543
7,88,1828
1,60,2143
2,39,2741
2,65,579
6,16,1080
9,43,2965
6,25,2144
10,85,1657
9,75,2825
4,79,2932
5,22,1707
1,40,1086
9,96,1847
8,16,1225
6,37,2768
7,43,721
2,68,2400
10,72,309
7,8,2226
10,40,1123
8,59,1815
4,98,2069
9,92,1377
8,85,737
1,49,1087
4,56,1742
2,74,2982
2,42,1785
8,17,2372
2,56,1160
2,10,205
5,37,2834
2,54,2530
3,18,1393
3,24,2221
8,38,1259
6,25,859
3,71,153
3,23,1690
9,81,804
7,58,271
4,2,2524
10,70,1429
10,25,1536
6,75,1189
3,22,1557
5,73,746
9,50,1584
7,61,2882
8,94,1704
7,28,1798
4,92,2364
5,75,1758
4,77,2194
5,92,1350
1,12,2059
8,83,1104
