s,p,d
7,50,156
8,99,383
2,3,55
7,20,301
5,24,229
6,5,246
8,62,168
4,36,98
6,24,85
9,90,252
8,37,327
9,11,286
1,49,328
10,29,316
2,10,64
1,32,110
10,83,224
3,5,123
7,39,215
4,55,147
10,63,316
4,75,265
10,48,307
7,13,271
4,91,217
6,40,308
5,60,134
6,60,226
6,77,325
2,65,272
9,53,348
7,70,238
9,29,61
8,40,145
6,69,146
5,49,340
6,64,394
10,63,317
8,56,359
5,6,146
7,80,320
6,82,367
7,35,80
6,48,387
7,42,146
5,58,173
8,31,255
7,19,190
2,21,178
5,67,357
9,12,53
9,77,384
10,64,338
7,53,195
5,86,379
5,99,448
2,6,206
1,2,63
5,31,224
3,38,178
9,8,180
6,57,211
3,50,308
1,6,22
4,53,222
5,85,269
6,87,347
5,99,406
7,59,198
5,63,225
9,56,367
2,63,244
2,40,254
2,9,100
8,26,176
1,85,252
8,3,42
1,47,135
1,31,277
4,41,303
1,80,193
5,26,306
7,29,271
4,63,243
6,6,233
8,46,286
4,86,441
3,50,210
8,19,275
6,53,318
1,7,50
10,28,160
6,11,114
5,49,312
7,99,388
7,22,294
9,14,175
8,52,190
9,79,173
1,95,406
